date,state,area
2003-01-01,Johor,356922.0
2003-01-01,Kedah,344530.0
2003-01-01,Kelantan,629687.0
2003-01-01,Melaka,5468.0
2003-01-01,Negeri Sembilan,165639.0
2003-01-01,Pahang,1524132.0
2003-01-01,Perak,884205.0
2003-01-01,Perlis,10718.0
2003-01-01,Pulau Pinang,5139.0
2003-01-01,Sabah,3563186.0
2003-01-01,Sarawak,4836800.0
2003-01-01,Selangor,233781.0
2003-01-01,Semenanjung Malaysia,4696211.0
2003-01-01,Terengganu,535929.0
2003-01-01,W.P. Kuala Lumpur,61.0
2003-01-01,W.P. Labuan,0.0
2003-01-01,W.P. Putrajaya,0.0
2004-01-01,Johor,355772.0
2004-01-01,Kedah,342613.0
2004-01-01,Kelantan,629367.0
2004-01-01,Melaka,5185.0
2004-01-01,Negeri Sembilan,162075.0
2004-01-01,Pahang,1524132.0
2004-01-01,Perak,884205.0
2004-01-01,Perlis,10718.0
2004-01-01,Pulau Pinang,5434.0
2004-01-01,Sabah,3543186.0
2004-01-01,Sarawak,4806300.0
2004-01-01,Selangor,233781.0
2004-01-01,Semenanjung Malaysia,4683505.0
2004-01-01,Terengganu,530162.0
2004-01-01,W.P. Kuala Lumpur,61.0
2004-01-01,W.P. Labuan,0.0
2004-01-01,W.P. Putrajaya,0.0
2005-01-01,Johor,375864.0
2005-01-01,Kedah,342613.0
2005-01-01,Kelantan,629687.0
2005-01-01,Melaka,5185.0
2005-01-01,Negeri Sembilan,160151.0
2005-01-01,Pahang,1519501.0
2005-01-01,Perak,884205.0
2005-01-01,Perlis,10718.0
2005-01-01,Pulau Pinang,5434.0
2005-01-01,Sabah,3523186.0
2005-01-01,Sarawak,4779900.0
2005-01-01,Selangor,239782.0
2005-01-01,Semenanjung Malaysia,4711264.0
2005-01-01,Terengganu,538063.0
2005-01-01,W.P. Kuala Lumpur,61.0
2005-01-01,W.P. Labuan,0.0
2005-01-01,W.P. Putrajaya,0.0
2006-01-01,Johor,391499.0
2006-01-01,Kedah,342613.0
2006-01-01,Kelantan,629687.0
2006-01-01,Melaka,5159.0
2006-01-01,Negeri Sembilan,156275.0
2006-01-01,Pahang,1519501.0
2006-01-01,Perak,884205.0
2006-01-01,Perlis,10718.0
2006-01-01,Pulau Pinang,5434.0
2006-01-01,Sabah,3503186.0
2006-01-01,Sarawak,4778300.0
2006-01-01,Selangor,235212.0
2006-01-01,Semenanjung Malaysia,4726182.0
2006-01-01,Terengganu,545818.0
2006-01-01,W.P. Kuala Lumpur,61.0
2006-01-01,W.P. Labuan,0.0
2006-01-01,W.P. Putrajaya,0.0
2007-01-01,Johor,391499.0
2007-01-01,Kedah,342613.0
2007-01-01,Kelantan,629687.0
2007-01-01,Melaka,5079.0
2007-01-01,Negeri Sembilan,154185.0
2007-01-01,Pahang,1484099.0
2007-01-01,Perak,884205.0
2007-01-01,Perlis,10718.0
2007-01-01,Pulau Pinang,6098.0
2007-01-01,Sabah,3604867.0
2007-01-01,Sarawak,4692900.0
2007-01-01,Selangor,241568.0
2007-01-01,Semenanjung Malaysia,4695630.0
2007-01-01,Terengganu,545818.0
2007-01-01,W.P. Kuala Lumpur,61.0
2007-01-01,W.P. Labuan,0.0
2007-01-01,W.P. Putrajaya,0.0
2008-01-01,Johor,441251.0
2008-01-01,Kedah,342613.0
2008-01-01,Kelantan,623849.0
2008-01-01,Melaka,5080.0
2008-01-01,Negeri Sembilan,155909.0
2008-01-01,Pahang,1562496.0
2008-01-01,Perak,873936.0
2008-01-01,Perlis,10586.0
2008-01-01,Pulau Pinang,6098.0
2008-01-01,Sabah,3604867.0
2008-01-01,Sarawak,4681543.0
2008-01-01,Selangor,241568.0
2008-01-01,Semenanjung Malaysia,4807565.0
2008-01-01,Terengganu,544118.0
2008-01-01,W.P. Kuala Lumpur,61.0
2008-01-01,W.P. Labuan,0.0
2008-01-01,W.P. Putrajaya,0.0
2009-01-01,Johor,438751.0
2009-01-01,Kedah,342613.0
2009-01-01,Kelantan,623849.0
2009-01-01,Melaka,5080.0
2009-01-01,Negeri Sembilan,157058.0
2009-01-01,Pahang,1562902.0
2009-01-01,Perak,991436.0
2009-01-01,Perlis,10808.0
2009-01-01,Pulau Pinang,6098.0
2009-01-01,Sabah,3604894.0
2009-01-01,Sarawak,4583609.0
2009-01-01,Selangor,247793.0
2009-01-01,Semenanjung Malaysia,4930569.0
2009-01-01,Terengganu,544118.0
2009-01-01,W.P. Kuala Lumpur,63.0
2009-01-01,W.P. Labuan,0.0
2009-01-01,W.P. Putrajaya,0.0
2010-01-01,Johor,432678.0
2010-01-01,Kedah,342613.0
2010-01-01,Kelantan,623849.0
2010-01-01,Melaka,5079.0
2010-01-01,Negeri Sembilan,153837.0
2010-01-01,Pahang,1562902.0
2010-01-01,Perak,987511.0
2010-01-01,Perlis,10808.0
2010-01-01,Pulau Pinang,6098.0
2010-01-01,Sabah,3606647.0
2010-01-01,Sarawak,
2010-01-01,Selangor,250129.0
2010-01-01,Semenanjung Malaysia,4919685.0
2010-01-01,Terengganu,544118.0
2010-01-01,W.P. Kuala Lumpur,63.0
2010-01-01,W.P. Labuan,0.0
2010-01-01,W.P. Putrajaya,0.0
2011-01-01,Johor,432208.0
2011-01-01,Kedah,342613.0
2011-01-01,Kelantan,623849.0
2011-01-01,Melaka,4818.0
2011-01-01,Negeri Sembilan,153459.0
2011-01-01,Pahang,1562902.0
2011-01-01,Perak,986262.0
2011-01-01,Perlis,10799.0
2011-01-01,Pulau Pinang,6098.0
2011-01-01,Sabah,3606647.0
2011-01-01,Sarawak,
2011-01-01,Selangor,250129.0
2011-01-01,Semenanjung Malaysia,4912434.0
2011-01-01,Terengganu,539234.0
2011-01-01,W.P. Kuala Lumpur,63.0
2011-01-01,W.P. Labuan,0.0
2011-01-01,W.P. Putrajaya,0.0
2012-01-01,Johor,432208.0
2012-01-01,Kedah,325463.0
2012-01-01,Kelantan,623849.0
2012-01-01,Melaka,5151.0
2012-01-01,Negeri Sembilan,154578.0
2012-01-01,Pahang,1562902.0
2012-01-01,Perak,983136.0
2012-01-01,Perlis,10799.0
2012-01-01,Pulau Pinang,6098.0
2012-01-01,Sabah,3609249.0
2012-01-01,Sarawak,4337164.0
2012-01-01,Selangor,250129.0
2012-01-01,Semenanjung Malaysia,4893613.0
2012-01-01,Terengganu,539232.0
2012-01-01,W.P. Kuala Lumpur,68.0
2012-01-01,W.P. Labuan,0.0
2012-01-01,W.P. Putrajaya,0.0
2013-01-01,Johor,432209.0
2013-01-01,Kedah,341976.0
2013-01-01,Kelantan,623849.0
2013-01-01,Melaka,5151.0
2013-01-01,Negeri Sembilan,154676.0
2013-01-01,Pahang,1562902.0
2013-01-01,Perak,1003616.0
2013-01-01,Perlis,10799.0
2013-01-01,Pulau Pinang,6060.0
2013-01-01,Sabah,3614730.0
2013-01-01,Sarawak,4368066.0
2013-01-01,Selangor,250129.0
2013-01-01,Semenanjung Malaysia,4936290.0
2013-01-01,Terengganu,544855.0
2013-01-01,W.P. Kuala Lumpur,68.0
2013-01-01,W.P. Labuan,0.0
2013-01-01,W.P. Putrajaya,0.0
2014-01-01,Johor,432184.0
2014-01-01,Kedah,341976.0
2014-01-01,Kelantan,623849.0
2014-01-01,Melaka,5093.0
2014-01-01,Negeri Sembilan,155825.0
2014-01-01,Pahang,1562900.0
2014-01-01,Perak,999967.0
2014-01-01,Perlis,10799.0
2014-01-01,Pulau Pinang,6060.0
2014-01-01,Sabah,3615066.0
2014-01-01,Sarawak,4352828.0
2014-01-01,Selangor,250129.0
2014-01-01,Semenanjung Malaysia,4933787.0
2014-01-01,Terengganu,544937.0
2014-01-01,W.P. Kuala Lumpur,68.0
2014-01-01,W.P. Labuan,0.0
2014-01-01,W.P. Putrajaya,0.0
2015-01-01,Johor,414637.0
2015-01-01,Kedah,341976.0
2015-01-01,Kelantan,623849.0
2015-01-01,Melaka,5104.0
2015-01-01,Negeri Sembilan,155708.0
2015-01-01,Pahang,1563993.0
2015-01-01,Perak,999488.0
2015-01-01,Perlis,10799.0
2015-01-01,Pulau Pinang,6060.0
2015-01-01,Sabah,3551247.0
2015-01-01,Sarawak,4320302.0
2015-01-01,Selangor,250129.0
2015-01-01,Semenanjung Malaysia,4916748.0
2015-01-01,Terengganu,544937.0
2015-01-01,W.P. Kuala Lumpur,68.0
2015-01-01,W.P. Labuan,0.0
2015-01-01,W.P. Putrajaya,0.0
2016-01-01,Johor,414628.0
2016-01-01,Kedah,341976.0
2016-01-01,Kelantan,635437.0
2016-01-01,Melaka,5137.0
2016-01-01,Negeri Sembilan,155650.0
2016-01-01,Pahang,1559913.0
2016-01-01,Perak,999473.0
2016-01-01,Perlis,10799.0
2016-01-01,Pulau Pinang,6060.0
2016-01-01,Sabah,3540274.0
2016-01-01,Sarawak,4317939.0
2016-01-01,Selangor,250129.0
2016-01-01,Semenanjung Malaysia,4924153.0
2016-01-01,Terengganu,544883.0
2016-01-01,W.P. Kuala Lumpur,68.0
2016-01-01,W.P. Labuan,0.0
2016-01-01,W.P. Putrajaya,0.0
2017-01-01,Johor,332749.0
2017-01-01,Kedah,341976.0
2017-01-01,Kelantan,613275.0
2017-01-01,Melaka,5138.0
2017-01-01,Negeri Sembilan,155650.0
2017-01-01,Pahang,1558898.0
2017-01-01,Perak,995216.0
2017-01-01,Perlis,10615.0
2017-01-01,Pulau Pinang,5101.0
2017-01-01,Sabah,3540749.0
2017-01-01,Sarawak,4274825.0
2017-01-01,Selangor,250129.0
2017-01-01,Semenanjung Malaysia,4811226.0
2017-01-01,Terengganu,542411.0
2017-01-01,W.P. Kuala Lumpur,68.0
2017-01-01,W.P. Labuan,0.0
2017-01-01,W.P. Putrajaya,0.0
2018-01-01,Johor,332749.0
2018-01-01,Kedah,341976.0
2018-01-01,Kelantan,613275.0
2018-01-01,Melaka,5199.0
2018-01-01,Negeri Sembilan,155549.0
2018-01-01,Pahang,1559385.0
2018-01-01,Perak,988914.0
2018-01-01,Perlis,10615.0
2018-01-01,Pulau Pinang,5101.0
2018-01-01,Sabah,3540749.0
2018-01-01,Sarawak,4209053.0
2018-01-01,Selangor,250210.0
2018-01-01,Semenanjung Malaysia,4803350.0
2018-01-01,Terengganu,540309.0
2018-01-01,W.P. Kuala Lumpur,68.0
2018-01-01,W.P. Labuan,0.0
2018-01-01,W.P. Putrajaya,0.0
2019-01-01,Johor,334292.0
2019-01-01,Kedah,341976.0
2019-01-01,Kelantan,629775.0
2019-01-01,Melaka,5199.0
2019-01-01,Negeri Sembilan,155492.0
2019-01-01,Pahang,1550687.0
2019-01-01,Perak,988591.0
2019-01-01,Perlis,10628.0
2019-01-01,Pulau Pinang,5101.0
2019-01-01,Sabah,3541266.0
2019-01-01,Sarawak,3964880.0
2019-01-01,Selangor,250208.0
2019-01-01,Semenanjung Malaysia,4812326.0
2019-01-01,Terengganu,540309.0
2019-01-01,W.P. Kuala Lumpur,68.0
2019-01-01,W.P. Labuan,0.0
2019-01-01,W.P. Putrajaya,0.0
2020-01-01,Johor,334292.0
2020-01-01,Kedah,341976.0
2020-01-01,Kelantan,629881.0
2020-01-01,Melaka,5199.0
2020-01-01,Negeri Sembilan,155143.0
2020-01-01,Pahang,1545610.0
2020-01-01,Perak,987632.0
2020-01-01,Perlis,10629.0
2020-01-01,Pulau Pinang,5387.0
2020-01-01,Sabah,3574468.0
2020-01-01,Sarawak,3964880.0
2020-01-01,Selangor,250208.0
2020-01-01,Semenanjung Malaysia,4806334.0
2020-01-01,Terengganu,540309.0
2020-01-01,W.P. Kuala Lumpur,68.0
2020-01-01,W.P. Labuan,0.0
2020-01-01,W.P. Putrajaya,0.0
2021-01-01,Johor,334502.0
2021-01-01,Kedah,341976.0
2021-01-01,Kelantan,629881.0
2021-01-01,Melaka,5199.0
2021-01-01,Negeri Sembilan,155143.0
2021-01-01,Pahang,1588298.0
2021-01-01,Perak,986848.0
2021-01-01,Perlis,10629.0
2021-01-01,Pulau Pinang,5387.0
2021-01-01,Sabah,3574468.0
2021-01-01,Sarawak,3964880.0
2021-01-01,Selangor,250208.0
2021-01-01,Semenanjung Malaysia,4848448.0
2021-01-01,Terengganu,540309.0
2021-01-01,W.P. Kuala Lumpur,68.0
2021-01-01,W.P. Labuan,0.0
2021-01-01,W.P. Putrajaya,0.0
